;Tytul;Lokalizacja;Cena;Cena_za_metr;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Okna;Rodzaj zabudowy;Czynsz;Forma własności;Ogrzewanie;Rok budowy;Materiał budynku;Stan wykończenia;Dostępne od
56;3 pokoje/ Rozkład/ Centrum/ Bema;Wrocław, Śródmieście, Centrum, ul. gen. Józefa Bema;535000;8671;61,70 m²;3;wtórny;4;6;plastikowe;blok;;spółdzielcze własnościowe;miejskie;1993;cegła;do zamieszkania;
57;Luksusowe, 2 pokoje z widokiem na Park Śląski;Katowice, Osiedle Tysiąclecia;345000;7841;44 m²;2;wtórny;> 10;18;plastikowe;blok;400 zł;pełna własność;miejskie;1980;wielka płyta;;
59;2 pokoje ul. Strubiczów 8;Warszawa, Włochy;365000;10000;36,50 m²;2;wtórny;2;;plastikowe;blok;;spółdzielcze własnościowe;miejskie;;wielka płyta;;2020-03-02
61;Luksusowe, SUPERJEDNOSTKA, obok Spodek, MCK, NOSPR;Katowice, Koszutka, Korfantego;376000;7833;48 m²;2;wtórny;9;12;plastikowe;blok;480 zł;spółdzielcze wł. z KW;miejskie;1980;wielka płyta;do zamieszkania;
63;Dom Marzeń III Etap, mieszkanie 25;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;454434;7400;61,41 m²;3;pierwotny;2;5;;;;;;2019;;do wykończenia;
64;Dom Marzeń III Etap, mieszkanie 24;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;373540;7948;47 m²;2;pierwotny;2;5;;;;;;2019;;do wykończenia;
65;Otwock 2 pokoje 35m2+ogródek Nowa inwestycja!;Otwock, otwocki, mazowieckie;225224;6341;35,52 m²;2;pierwotny;parter;2;;blok;;;miejskie;2021;;do wykończenia;
66;Mieszkanie, 60,54 m², Chrzanów;Chrzanów, chrzanowski, małopolskie;295000;4873;60,54 m²;3;wtórny;2;2;;;;pełna własność;;;;;
68;Komfortowe trzy pokoje z ogródkiem!;Bydgoszcz, Górny Taras, Kapuściska, Białogardzka;417690;6340;65,88 m²;3;pierwotny;parter;5;;;;;miejskie;2020;inne;;2020-07-01
70;Mieszkanie, 53 m², Gorzów Wielkopolski;Gorzów Wielkopolski, lubuskie;179000;3377;53 m²;2;wtórny;2;3;plastikowe;kamienica;500 zł;pełna własność;miejskie;;cegła;do remontu;
74;Dom Marzeń III Etap, mieszkanie 23;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;426946;10480;40,74 m²;2;pierwotny;2;5;;;;;;2019;;do wykończenia;
75;Dom Marzeń III Etap, mieszkanie 22;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;426946;7650;55,81 m²;3;pierwotny;1;5;;;;;;2019;;do wykończenia;
76;Drabinianka, mieszkanie 63m w bloku z windą 2012r.;Rzeszów, Drabinianka, Jazowa;420000;6667;63 m²;3;wtórny;4;4;;blok;;pełna własność;miejskie;2012;cegła;;
77;Mieszkanie, 39,05 m², Lubin;Lubin, Centrum;185000;4738;39,05 m²;2;wtórny;;4;plastikowe;blok;295 zł;;miejskie;;;;
81;Przestronny apartament 150 m od morza w Łukęcinie;Łukęcin, kamieński, zachodniopomorskie;479000;11975;40 m²;2;wtórny;2;3;plastikowe;blok;170 zł;pełna własność;elektryczne;2015;pustak;do zamieszkania;2020-03-31
84;HIT!! 2poziomowe mieszkanie z rabatem 100 000zł;Łódź, Bałuty, Arturówek, Warszawska 84/86;898491;8009;112,19 m²;3;wtórny;2;2;;apartamentowiec;;;;;;do zamieszkania;2018-08-09
89;Dom Marzeń III Etap, mieszkanie 21;ul. Jana Pawła II, Piaseczno, piaseczyński, mazowieckie;329448;7950;41,44 m²;2;pierwotny;1;5;;;;;;2019;;do wykończenia;
90;Apartamenty PARAISO nad morzem Z BASENEM!!;morska 10, Łukęcin, kamieński, zachodniopomorskie;362285;7700;47,05 m²;2;pierwotny;1;1;;apartamentowiec;;;gazowe;2019;;;
91;Bezpośrednio sprzedam Kazimierz. 3 pokoje 60m2;Kraków, Stare Miasto, Kazimierz, ul. Miodowa;699000;11650;60 m²;3;wtórny;3;3;plastikowe;kamienica;350 zł;pełna własność;gazowe;1932;cegła;do zamieszkania;2019-11-19
93;Sprzedam mieszkanie 49m;ul. Władysława Sikorskiego, Głowno, zgierski, łódzkie;150000;3061;49 m²;2;wtórny;;;plastikowe;;;spółdzielcze wł. z KW;kotłownia;;;do zamieszkania;
95;ostatnie mieszkanie z ogrodem POZNAŃ/POKRZYWNO;Poznań, Nowe Miasto, Pokrzywno, ul. Żurawicka;399000;4433;90 m²;4;pierwotny;1;1;plastikowe;dom wolnostojący;;pełna własność;gazowe;;pustak;do wykończenia;2020-02-12
96;Atrakcyjne mieszkanie w centrum - nowe budownictwo;Lublin, Wieniawa, ul. ks. Jerzego Popiełuszki;439000;7839;56 m²;2;wtórny;2;3;drewniane;blok;;pełna własność;miejskie;2008;;do zamieszkania;
97;Kamienica Szaserów 23 - Nowa Inwestycja;Warszawa, Praga-Południe, Szaserów 23;567700;9947;57,07 m²;3;pierwotny;2;3;;kamienica;;pełna własność;;2020;;do wykończenia;
